"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)"
1053818474000607,100081173924264,"The Piazza at The Grand Citygate","Where little splashes turn into bright memories.

#thepiazza 
#luxuryeveryday 
#AllInForYou 
#GrandLandInc 
#Davao",,0,"07/20/2026 02:00",N/A,https://www.facebook.com/thegrandcitygatedavao/posts/pfbid0PfVoQmFkv8UaMMgeJdnYUBN2SNJAj8Z2LE5LiQzMRvJfrKjjZqNJ8BbGfpLPagPpl,0,0,Photos,,,,,Lifetime,81,45,5,2,0,3,1,,1
1056763573706097,100081173924264,"The Piazza at The Grand Citygate","From home to mall in minutes, enjoy the ease of having it all nearby.

#thepiazza 
#luxuryeveryday 
#AllInForYou 
#GrandLandInc 
#Davao",,0,"07/23/2026 17:00",N/A,https://www.facebook.com/thegrandcitygatedavao/posts/pfbid0TqHgwUEnL6YzTfq5KPWVQ6D6UmKLFayTgzZ4LQfaZHZEBeHMEG7FXBZu12fHhHbYl,0,0,Photos,,,,,Lifetime,106,53,7,4,0,3,0,,
1055434383839016,100081173924264,"The Piazza at The Grand Citygate","The Piazza offers a retreat for peaceful nights, deep in the heart of the city. 

#thepiazza 
#luxuryeveryday 
#AllInForYou 
#GrandLandInc 
#Davao",,0,"07/22/2026 02:00",N/A,https://www.facebook.com/thegrandcitygatedavao/posts/pfbid02y83sZWbqr2aH9hGd5kuSs7DUBVX3ixF9oeCh4YRwTxuN9jyCCEJjdTDUPsspzGTTl,0,0,Photos,,,,,Lifetime,611,395,11,7,1,3,5,4,1
